date,startup,vertical,subvertical,city,investors,round,amount
2019-03-07,Ola Cabs,Transport,Cabs,Kormangala,Transport,Series J,8.25
2019-01-07,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,Artificial Intelligence,Series C,314.16
2019-04-07,Daalchini Technologies,Food and Beverage,Digital Vending Machine,Delhi,Food and Beverage,Seed Round,4.125
2019-10-07,BYJU's,EdTech,Education,Bangalore,EdTech,Private Equity Round,1237.5
2019-11-07,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,E-Commerce,Series D,495.0
2019-10-07,Ezyhaul,Tech,Logistics,Singapore,Tech,Series B,132.0
2019-10-07,Indus OS,Tech,Smartphone Operating System,Andheri,Tech,Series B,47.4375
2019-10-07,HealthAssure,Health Care,Primary care medical network,Mumbai,Health Care,Series A,20.625
2019-09-07,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Luxury Label,Series A,8.25
2019-08-07,Board Infinity,EdTech,Full-stack career platform,Chembur,EdTech,Angel Round,2.63674125
2019-05-06,NoBroker,E-Commerce,Real Estate,Bangalore,E-Commerce,Series C,420.75
2019-04-06,Bira91,Food and Beverage,Brewery,Delhi,Food and Beverage,Debt Funding,82.5
2019-03-06,Avail Finance,Finance,FinTech,Bangalore,Finance,Series A,74.25
2019-04-06,BharatPe,Finance,FinTech,Delhi,Finance,Series B,618.75
2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,Waste Management Service,pre-Series A,214.5
2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Deep-Tech,pre-Series A,20.625
2019-06-06,Chakr Innovation,Energy,Renewable Energy,Delhi,Energy,Series A,214.5
2019-10-06,Bolo App,Digital Media,Video Platform,Bangalore,Digital Media,Seed Funding,3.54915
2019-10-06,OkCredit,FinTech,Financial Services,Haryana,FinTech,Series A,127.875
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,FinTech,Series B,429.0
2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Transportation,Debt Funding,29.568
2019-04-06,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Services,Series A,28.05
2019-06-05,Ola Electric,Transport,Cabs,Bangalore,Transport,Series A,0.0
2019-06-05,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,Waste Management Service,Venture - Series Unknown,7.16595
2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,E-commerce,Bridge Round,0.0
2019-01-05,BlackBuck,Transport,Logistics,Bangalore,Transport,Series D,1237.5
2019-02-05,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Saas,Series C,412.5
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bangalore,Automobile,Series C,420.75
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Agtech,Seed Round,1155.0
2019-05-30,GlowRoad,E-commerce,Retail,Bangalore,E-commerce,Series B,94.875
2019-05-31,Bira91,Food and Beverage,Brewery,Delhi,Food and Beverage,Series B,46.2
2019-04-16,Kuvera,Finance,Wealth Management,Bangalore,Finance,Series A,371.25
2019-12-04,Medlife,E-commerce,Online Medicine,Bangalore,E-commerce,Private Equity,140.25
2019-10-04,Kabadiwala,E-commerce,Waste Management,Bhopal,E-commerce,Private Equity,3.55298625
2019-04-13,Tripoto,Social Media,Travel,Delhi,Social Media,Series B,29.62884375
2019-12-04,Azah,Health and Wellness,Organic wellness,Gurugram,Health and Wellness,Seed Funding,1.65
2019-11-04,Setu,Fintech,Banking,Bangalore,Fintech,Seed Funding,28.875
2019-10-04,Toppr,Edtech,E-learning,Mumbai,Edtech,Debt and Preference capital,52.146765
2019-10-04,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,E-commerce,Inhouse Funding,20.15883375
2019-10-04,Unacademy,Edtech,E-learning,Bangalore,Edtech,Seed/ Angel Funding,2.53275
2019-11-04,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,SaaS,Series B,214.5
2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,E-commerce,Series A,24.75
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,Transportation,Venture Round,41.25
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bangalore,Technology,Series A,24.75
2019-01-02,FleetX,AI,Logistics,Gurugram,AI,Pre Series A,0.0
2019-08-02,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,Ecommerce,Series D,1864.5
2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,Delhi,Nanotechnology,Series A,4.95
2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurugram,Hospitality,Equity,825.0
2019-03-01,CarDekho,Automobile,Online Marketplace,Jaipur,Automobile,Series C,907.5
2019-04-01,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Health and Wellness,Series D,181.5
2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,Finance,Debt-Funding,41.25
2018-04-12,Manch,Social Media,Hyperlocal Content,Delhi,Social Media,Seed Funding,5.775
2018-01-12,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,Delhi,Services Platform,Series D,412.5
2018-02-12,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Travel Tech,Pre-Series A,6.6
2018-02-12,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Online Education,Pre-Series A,4.719
2018-04-12,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Online Marketplace,Seed Funding,1.17975
2018-06-12,ShopKirana,B2B,eCommerce,Indore,B2B,Seed Funding,16.5
2018-06-12,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"SaaS, Ecommerce",Series A,28.875
2018-01-11,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Food and Beverage,Seed/ Angel Funding,1.14670875
2018-03-11,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,NBFC,Series D,229.34175
2018-06-11,Meesho,Ecommerce,Social Commerce,Bangalore,Ecommerce,Series C,412.5
2018-08-11,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Gaming,Series A,4.125
2018-08-11,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,Food,Equity,8.25
2018-12-11,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Food Tech,Series A,8.25
2018-12-11,MilkBAsket,Food,Micro-delivery grocery service,Delhi,Food,Series B,10.725
2018-11-13,DriveU,Transport,On-Demand Drivers,Bangalore,Transport,Mezzanine,8.25
2018-11-14,CleanseCar,Services,Car Wash,Bangalore,Services,Seed/ Angel Funding,4.125
2018-11-19,Automation Anywhere,Automation,Robotics,California,Automation,Series B,2475.0
2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,Health and Wellness,Series B (Extension),49.5
2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Education,Seed Funding,2.2935
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Investment,Equity Based Funding,255.75
2018-11-22,Skillbox,Social Network,Art,Gurugram,Social Network,Seed Funding,0.0
2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,Financial Tech,Series A,28.05
2018-11-24,Engineer.ai,Software,AI Platform,India/US,Software,Series A,243.375
2018-11-25,InCred Finance,Finance,SME Lending,India,Finance,Private Equity,346.5
2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Social Media,Series B,14.025
2018-01-10,Northmist,Fashion,Mens Wear,Delhi,Fashion,Seed/ Angel Funding,0.0
2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,Logistics,Seed/ Angel Funding,90.75
2018-04-10,Grover Zampa,Food,Wine,Mumbai,Food,Private Equity,67.65
2018-05-10,Droom,Automobile,New and Used Cars Platform,Gurugram,Automobile,Series E,24.75
2018-11-10,Innov8,Real Estate,Co-Working,Delhi,Real Estate,Pre-Series A,33.0
2018-12-10,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Logistics Tech,Private Funding,121.11
2018-12-10,LetsTransport,Logistics Tech,Book Trucks Online,Bangalore,Logistics Tech,Series C,99.0
2018-01-09,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,Consumer Internet,Private Equity,288.75
2018-03-09,Udaan,B2B Platform,Logistics and Shipping,Bangalore,B2B Platform,Private Equity,1856.25
2018-03-09,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bangalore,Consumer Internet,Private Equity,52.7175
2018-04-09,3HCare,Healthcare,Healthcare Service Provider,Delhi,Healthcare,Seed / Angel Funding,8.25
2018-04-09,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,Consumer Internet,Private Equity,0.0
2018-05-09,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Consumer Internet,Private Equity,1296.9
2018-05-09,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,Technology,Private Equity,0.0
2018-06-09,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,Consumer Internet,Private Equity,825.0
2018-10-09,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Healthcare,Private Equity,33.0
2018-11-09,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,Technology,Private Equity,264.0
2018-11-09,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,Consumer Internet,Debt Funding,45.375
2018-11-09,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,Fin-Tech,Private Equity,41.25
2018-12-09,Kissht,Fin-Tech,Online lending Platform,Mumbai,Fin-Tech,Private Equity,247.5
2018-01-08,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,Food-Tech,Seed/ Angel Funding,3.3
2018-01-08,HealthFin,Finance,Patient Financing Platform,Pune,Finance,Seed/ Angel Funding,0.0
2018-02-08,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Consumer Internet,Private Equity,57.75
2018-03-08,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Consumer Internet,Private Equity,0.99
2018-07-08,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Consumer Internet,Seed/ Angel Funding,8.25
2018-07-08,ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Consumer Internet,Private Equity,288.75
2018-07-08,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,Consumer Internet,Private Equity,82.5
2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Consumer Internet,Seed/ Angel Funding,33.0
2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,Consumer Internet,Private Equity,100.65
2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bangalore,Consumer Internet,Private Equity,544.5
2018-09-08,quizizz,Ed-Tech,e-learning Platform,Bangalore,Ed-Tech,Seed/ Angel Funding,24.75
2018-09-08,Happy EMI,Fin-Tech,Consumer Financing Platform,Bangalore,Fin-Tech,Seed/ Angel Funding,8.25
2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,Consumer Internet,Seed/ Angel Funding,33.0
2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bangalore,Technology,Private Equity,66.0
2018-08-16,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Consumer Internet,Seed/ Angel Funding,0.94719075
2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Consumer Internet,Private Equity,48.2625
2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bangalore,Finance,Seed / Angel Funding,8.25
2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Consumer Internet,Debt Funding,39.6
2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bangalore,Technology,Private Equity,49.5
2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,Consumer Internet,Private Equity,117.7275
2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,Consumer Internet,Private Equity,110.55
2018-08-26,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bangalore,Fin-Tech,Private Equity,34.65
2018-08-27,MyUpchar,Healthcare,Local Language Health Content App,Delhi,Healthcare,Private Equity,41.25
2018-08-28,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bangalore,IT,Private Equity,24.75
2018-08-30,True North,Finance,Private Equity Firm,Mumbai,Finance,Private Equity,4950.0
2018-01-07,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Technology,Seed/ Angel Funding,0.0
2018-02-07,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Consumer Internet,Seed/ Angel Funding,8.25
2018-04-07,Anchanto,IT,E-commerce Fulfilment Platform,Pune,IT,Private Equity,33.0
2018-06-07,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Consumer Internet,Private Equity,228.525
2018-09-07,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Consumer Internet,Seed/ Angel Funding,3.63
2018-09-07,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,Consumer Internet,Seed/ Angel Funding,9.075
2018-10-07,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,Consumer Internet,Seed/ Angel Funding,3.60525
2018-10-07,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Healthcare,Seed/ Angel Funding,0.0
2018-10-07,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bangalore,Finance,Private Equity,41.25
2018-10-07,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,Consumer Internet,Private Equity,41.25
2018-11-07,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Consumer Internet,Private Equity,20.625
2018-12-07,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,IT,Seed/ Angel Funding,1.485
2018-12-07,5th Vital,Healthcare,Home diagnostics services provider,Bangalore,Healthcare,Seed/ Angel Funding,4.125
2018-07-13,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,Healthcare,Seed/ Angel Funding,1.44375
2018-07-17,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,Finance,Private Equity,239.25
2018-07-17,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,Consumer Internet,Private Equity,410.025
2018-07-18,The Ken,Consumer Internet,Subscription-Only News Website,Bangalore,Consumer Internet,Seed/ Angel Funding,12.375
2018-07-19,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,Consumer Internet,Private Equity,825.0
2018-07-20,HousingMan,Consumer Internet,Property Discovery Platform,Bangalore,Consumer Internet,Seed/ Angel Funding,12.375
2018-07-21,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,Consumer Internet,Private Equity,148.5
2018-07-23,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bangalore,Technology,Seed/ Angel Funding,0.0
2018-07-23,VTION,Technology,Media Analytics,Gurugram,Technology,Seed/ Angel Funding,2.31
2018-07-23,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bangalore,Technology,Seed/ Angel Funding,3.597
2018-07-24,kidovators,Ed-Tech,Skill Learning Platform,Bangalore,Ed-Tech,Seed/ Angel Funding,1.485
2018-07-24,Digit,Consumer Internet,Online Insurance Startup,Pune,Consumer Internet,Private Equity,371.25
2018-07-25,Black Soil,Finance,Non-Banking Financial Company,Mumbai,Finance,Private Equity,140.25
2018-07-25,Trell,Consumer Internet,Mobile-First Video Blogging App,Bangalore,Consumer Internet,Seed/ Angel Funding,10.3125
2018-07-25,iqlect,Technology,Data Analytics Firm,Bangalore,Technology,Seed/ Angel Funding,20.625
2018-07-26,Entropik,IT,Software-As-A-Service Platform,Bangalore,IT,Seed/ Angel Funding,9.075
2018-07-26,Bitla Software,Technology,Travel-Focused Tech Startup,Bangalore,Technology,Private Equity,0.0
2018-07-26,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Fin-Tech,Private Equity,4.125
2018-07-30,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Consumer Internet,Private Equity,90.75
2018-07-30,Cure Fit,Consumer Internet,Health and fitness Platform,Bangalore,Consumer Internet,Private Equity,990.0
2018-07-31,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,Fin-Tech,Private Equity,825.0
2018-07-31,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Healthcare,Seed/ Angel Funding,41.25
2018-01-06,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,Finance,Private Equity,82.5
2018-04-06,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bangalore,Technology,Seed/ Angel Funding,1.03125
2018-04-06,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,E-Commerce,Seed/ Angel Funding,0.0
2018-05-06,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,Finance,Seed/ Angel Funding,0.0
2018-05-06,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,Healthcare,Seed/ Angel Funding,0.0
2018-07-06,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Finance,Private Equity,189.75
2018-07-06,Meesho,Consumer Internet,Online Marketplace For Resellers,Bangalore,Consumer Internet,Private Equity,94.875
2018-10-06,AyeFinance,Finance,Online Lending Platform,Gurugram,Finance,Private Equity,177.375
2018-11-06,Theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,Healthcare,Seed/ Angel Funding,0.0
2018-12-06,Alpha Capital,Finance,Supplychain Finance,Mumbai,Finance,Private Equity,122.1
2018-12-06,eshakti,E-Commerce,Fashion e-tailer,Chennai,E-Commerce,Private Equity,83.325
2018-12-06,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bangalore,Consumer Internet,Seed/ Angel Funding,24.75
2018-06-13,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,Healthcare,Seed/ Angel Funding,2.475
2018-06-13,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,Finance,Seed/ Angel Funding,3.7125
2018-06-13,What\\xe2\\x80\\x99s Up Life,Consumer Internet,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,Consumer Internet,Seed/ Angel Funding,0.0
2018-06-14,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bangalore,Consumer Internet,Seed/ Angel Funding,28.4625
2018-06-14,Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,Technology,Private Equity,39.6
2018-06-18,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Healthcare,Private Equity,173.25
2018-06-18,Elucidata,IT,Data Analytics (SaaS),Delhi & Cambridge,IT,Seed/ Angel Funding,14.025
2018-06-19,Chrysalis,Ed-Tech,Education Services Provider,Pune,Ed-Tech,Seed/ Angel Funding,0.0
2018-06-19,RentSher,Consumer Internet,Online Rental Marketplace,Bangalore,Consumer Internet,Seed/ Angel Funding,9.075
2018-06-20,Drip capital,Finance,Trade Finance Firm,Mumbai,Finance,Private Equity,123.75
2018-06-22,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bangalore,Consumer Internet,Private Equity,75.075
2018-06-25,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Consumer Internet,Private Equity,1650.0
2018-06-25,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bangalore,Consumer Internet,Private Equity,33.0
2018-06-25,Sqqrl,Finance,App-based investment platform,Gurugram,Finance,Seed/ Angel Funding,8.25
2018-06-26,Paytm,Technology,Digital Payment Platform,Noida,Technology,Private Equity,73.8375
2018-06-26,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bangalore,Healthcare,Private Equity,156.75
2018-06-27,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Technology,Private Equity,37.125
2018-06-28,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bangalore,Technology,Seed/ Angel Funding,9.075
2018-06-28,Edureka,Ed-Tech,Online Education Platform,Bangalore,Ed-Tech,Seed/ Angel Funding,16.5
2018-06-29,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,Technology,Seed/ Angel Funding,0.0
2018-02-05,OpenTap,Finance,Online Lending Platform,Chennai,Finance,Seed / Angel Funding,3.7125
2018-02-05,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,Consumer Internet,Private Equity,181.5
2018-03-05,Disprz,IT,SaaS,Chennai,IT,Seed / Angel Funding,20.625
2018-07-05,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,Consumer Internet,Seed / Angel Funding,1.85625
2018-09-05,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,Technology,Seed / Angel Funding,8.25
2018-11-05,Earth Food,Consumer Internet,Agri-tech,Pune,Consumer Internet,Seed / Angel Funding,7.82925
